Mensaje
Jugada del partido #America vs #CruzAzul fue una decisión arbitral correcta
"Que Lopez Obrador vio la final Cruz Azul vs América. …y al final del partido preguntó por el Gato Ortiz, lo quiere como diputado de Morena. Le ve el talento que le gusta al Presidente 😌"
Ya decía que había visto esa pinche farsa con anterioridad..
"#Deportes |  ¡Polémica! Revelan los audios del VAR en el partido América vs. Cruz Azul, uno de ellos aseguró que nunca hubo falta. "
Seguimos con la polémica del penal en el América vs CruzAzul ?? Es penal !!!!!! 🤦🏻‍♂️Pero también es más fácil decir que el ganador robó y al perdedor le robaron.Si quieren armamos un debate en @EnLineaDeJuego @Farilljp @ElCoachManja @thepickscenter
¿Era penal? 🤔. En Caliente discutieron sobre las decisiones polémicas en el América vs Cruz Azul 🔥#ConLosProta
La cara de @MikelArriolaP bien cagado xq perdió el América… Esa misma cara no puso en la final @ClubAmerica
😤 Fue muy imprudente de Rotondi barrerse así. 
¡¡INCREÍBLE DATO!! 😳📊Los últimos 𝟱 𝗧𝗜́𝗧𝗨𝗟𝗢𝗦 de Liga MX que ganó el América fueron ante Cruz Azul y Tigres.
"Arturo Brizio, el mejor árbitro que ha tenido este país, confirma que el penal de Rotondi es correcto. El Gato Ortíz tomó una decisión correcta anoche en la final América vs Cruz Azul."
😢 Que mal que una buena final se haya deficini por un polémico penal. Imprudente la barrida pero ¿lo toca o no lo toca? Análisis de la #Final: #América vs #CruzAzul pt2 
"LITERAL! la misma falta de cruz azul vs América de ayer... si dices que esto era penal, la de ayer era penal es calcada la falta, igual de innecesaria la barrida y exactamente el mismo colmillo del delantero de olimpo"
"América vs. Cruz Azul: VAR descartó falta; aun así, el árbitro marcó penal "
🦸‍♂️ #Anselmi le ganó en lo táctico a #Jardine pero #Malagón salió en su noche. 
"#Deportes | 🚨⚽️ El Presidente de la Comisión de Árbitros, Armando Archundia, se proclama ante el polémico arbitraje en la final América vs Cruz Azul"
Entonces... ¿CUÁL FUE MÁS POLÉMICO? ¿El título de Chivas vs Tigres o el de América ante Cruz Azul? Los leemos... 👀
"¿DIGNO CAMPEONATO O NO DEBIÓ SER? 👀🔥 @joratla, @Veroshki_ y  @cesilio6 están listos para discutir más sobre América vs. Cruz Azul esta noche en #PuntoFinal."
"""Es falta imprudente"", dijo el 'Gato' Ortiz mientras iba al VAR para corroborar el penal a favor del América que le dio el bicampeonato este domingo vs. Cruz Azul, así lo reveló el audio del momento de su decisión. #Informa con @josecardenas1"
"Vs Pachuca el jugador de Pachuca no toca el balón para saque de banda. Vs Chivas el jugador de Chivas no llega a tocar el balón x falta. Vs Cruz azul en ida,jugador del cruz azul no toca balón en saque de banda y de ahí viene gol. Cómo se llamó la obra? América si tocó el trofeo"
"Coronación del Club América como bicampeón de Liga MX, siendo su titulo 19 en Primera División.Tras la final de vuelta del Torneo Clausura 2024 de Liga MX entre Club América vs Cruz Azul. Henry Martín levanto los títulos de Liga MX y Campeón de Campeones 2023-2024"
América vs Cruz Azul: ¿Se repite la final? Confirman error del árbitro en penal de Rotondi.
"La polémica del América VS Cruz Azul llegó a #ElAlmuerzo en @ParabolicaRed🤭🤣 Y por si no fuera poco, Pepe Chedraui denuncia ataque con bombas molotov a su casa de campaña. Así la colaboración de @Ambas_Manos hoy.  🧑🏻‍💻 "
"Raza, póngale a ESPN, la FIFA está anunciando que se repetirá la final América vs Cruz Azul, próximo domingo a las 7 pm por el Canal de las Estrellas"
